BL DATE,FOB
1/1/2019,1050
1/2/2019,1074
1/3/2019,1050
1/4/2019,1050
1/5/2019,1070
1/6/2019,1050
1/7/2019,1070
1/8/2019,1050
1/9/2019,1050
1/10/2019,1050
1/11/2019,1050
1/12/2019,1070
1/13/2019,1050
1/14/2019,1069
1/15/2019,1070
1/16/2019,1050
1/17/2019,1050
1/18/2019,1050
1/19/2019,1050
1/20/2019,1050
1/21/2019,1050
1/22/2019,1050
1/23/2019,1076
1/24/2019,1050
1/25/2019,1050
1/26/2019,1071
1/27/2019,1050
1/28/2019,1071
1/29/2019,1050
1/30/2019,1050
1/31/2019,1050
2/1/2019,1050
2/2/2019,1050
2/3/2019,1070
2/4/2019,1070
2/5/2019,1050
2/6/2019,1050
2/7/2019,1050
2/8/2019,1050
2/9/2019,1050
2/10/2019,1050
2/11/2019,1050
2/12/2019,1050
2/13/2019,1050
2/14/2019,1030
2/15/2019,1050
2/16/2019,1030
2/17/2019,1050
2/18/2019,1030
2/19/2019,1050
2/20/2019,1050
2/21/2019,1060
2/22/2019,1050
2/23/2019,1030
2/24/2019,1030
2/25/2019,1070
2/26/2019,1035
2/27/2019,988
2/28/2019,1050
3/1/2019,1050
3/2/2019,1030
3/3/2019,1030
3/4/2019,1035
3/5/2019,1030
3/6/2019,1030
3/7/2019,1030
3/8/2019,1030
3/9/2019,1030
3/10/2019,1050
3/11/2019,1000
3/12/2019,1030
3/13/2019,1030
3/14/2019,1000
3/15/2019,1030
3/16/2019,1000
3/17/2019,1000
3/18/2019,1126
3/19/2019,1050
3/20/2019,1030
3/21/2019,1030
3/22/2019,1030
3/23/2019,1000
3/24/2019,1030
3/25/2019,1000
3/26/2019,1000
3/27/2019,1000
3/28/2019,1000
3/29/2019,1035
3/30/2019,1000
3/31/2019,1000
4/1/2019,1000
4/2/2019,1000
4/3/2019,1000
4/4/2019,1000
4/5/2019,1000
4/6/2019,1000
4/7/2019,1000
4/8/2019,1030
4/9/2019,1000
4/10/2019,1000
4/11/2019,1005
4/12/2019,1060
4/13/2019,1000
4/14/2019,1000
4/15/2019,1000
4/16/2019,1000
4/17/2019,1000
4/18/2019,1000
4/19/2019,1000
4/20/2019,1000
4/21/2019,1000
4/22/2019,1000
4/23/2019,1000
4/24/2019,1000
4/25/2019,1000
4/26/2019,1000
4/27/2019,1020
4/28/2019,1000
4/29/2019,1000
4/30/2019,1000
5/1/2019,1000
5/2/2019,1000
5/3/2019,1000
5/4/2019,1000
5/5/2019,1000
5/6/2019,1000
5/7/2019,1000
5/8/2019,1000
5/9/2019,1005
5/10/2019,1005
5/11/2019,1000
5/12/2019,1000
5/13/2019,1000
